Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides UV control-1	Peptides UV-control-2	Peptides UV-control-3	Peptides UV-test-1	Peptides UV-test-2	Razor + unique peptides UV control-1	Razor + unique peptides UV-control-2	Razor + unique peptides UV-control-3	Razor + unique peptides UV-test-1	Razor + unique peptides UV-test-2	Unique peptides UV control-1	Unique peptides UV-control-2	Unique peptides UV-control-3	Unique peptides UV-test-1	Unique peptides UV-test-2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type UV control-1	Identification type UV-control-2	Identification type UV-control-3	Identification type UV-test-1	Identification type UV-test-2	Sequence coverage UV control-1 [%]	Sequence coverage UV-control-2 [%]	Sequence coverage UV-control-3 [%]	Sequence coverage UV-test-1 [%]	Sequence coverage UV-test-2 [%]	Intensity	Intensity UV control-1	Intensity UV-control-2	Intensity UV-control-3	Intensity UV-test-1	Intensity UV-test-2	LFQ intensity UV control-1	LFQ intensity UV-control-2	LFQ intensity UV-control-3	LFQ intensity UV-test-1	LFQ intensity UV-test-2	MS/MS count UV control-1	MS/MS count UV-control-2	MS/MS count UV-control-3	MS/MS count UV-test-1	MS/MS count UV-test-2	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions

CON__P00761	CON__P00761	11	11	11		1	11	11	11	5	9	8	3	6	5	9	8	3	6	5	9	8	3	6	58.9	58.9	58.9	24.409	231	231	0	245.27	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	25.1	58.9	51.1	16.5	25.1	1658200000	84846000	591230000	228630000	186940000	566510000	133670000	2017100	1417500	7061900	72927000	6	11	7	7	14	45			+	5	110;619;620;783;862;863;1104;1211;1223;1338;1339	True;True;True;True;True;True;True;True;True;True;True	118;663;664;665;833;913;914;1172;1285;1297;1298;1423;1424	345;346;1717;1718;1719;1720;1721;1722;1723;1724;1725;1726;1727;1728;1729;1730;1731;1732;2199;2200;2201;2202;2203;2204;2205;2206;2207;2208;2209;2210;2211;2400;2401;2402;2403;2404;2405;2406;2998;3307;3308;3326;3327;3328;3329;3639;3640;3641;3642;3643;3644;3645;3646;3647;3648;3649;3650	219;1144;1145;1146;1147;1148;1149;1150;1151;1152;1153;1154;1155;1465;1466;1467;1468;1469;1470;1471;1472;1473;1599;1600;1601;1994;2189;2190;2203;2204;2205;2398;2399;2400;2401;2402;2403;2404;2405;2406;2407;2408;2409;2410;2411	219;1154;1155;1472;1599;1601;1994;2190;2204;2405;2411	1;2	94;168

CON__P00978	CON__P00978	1	1	1		1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	4.3	4.3	4.3	39.234	352	352	0	7.093		By MS/MS	By matching			0	4.3	4.3	0	0	165660	0	114710	50948	0	0	0	0	1114	0	0	0	1	0	0	0	1			+	6	1323	True	1406	3591;3592	2367	2367		

CON__P01030	CON__P01030	4	1	1		1	4	1	1	1	3	3	1	2	0	1	1	0	0	0	1	1	0	0	2.5	0.8	0.8	192.79	1741	1741	0	15.973	By matching	By MS/MS	By MS/MS	By matching	By matching	0.6	1.8	1.8	0.6	1.2	19362000	0	11921000	7440800	0	0	0	174340	149860	0	0	0	1	2	0	0	3			+	7	158;722;790;980	False;True;False;False	168;771;840;1044	486;487;488;489;2020;2021;2022;2023;2228;2229;2230;2231;2671;2672	316;317;318;1346;1347;1348;1485;1486;1794	318;1347;1486;1794		

CON__P02533;CON__Q04695;CON__Q9QWL7;CON__Q6IFX2;ENSMODG00000014620|ENSMODT00000018601;ENSMODG00000014647|ENSMODT00000018636	CON__P02533	11;5;5;4;3;2	9;4;4;4;2;2	5;3;3;2;1;1		6	11	9	5	0	8	0	9	0	0	7	0	7	0	0	4	0	3	0	28.4	24.6	14.6	51.621	472	472;432;433;452;390;452	0	104.79		By MS/MS		By MS/MS		0	22.7	0	22.2	0	9514100	0	1741600	0	7772600	0	0	15848	0	570640	0	0	7	0	7	0	14			+	8	85;379;521;522;630;661;749;947;1264;1391;1421	True;True;True;True;True;True;False;True;True;True;False	88;407;560;561;676;708;798;1009;1342;1478;1509	235;1091;1092;1462;1463;1464;1465;1755;1756;1828;1829;2101;2599;3426;3775;3776;3862;3863	156;705;706;961;962;963;964;1172;1173;1225;1396;1739;2273;2487;2488;2543	156;706;961;964;1172;1225;1396;1739;2273;2488;2543	3	272

CON__P02538;CON__O95678	CON__P02538	12;3	1;0	1;0		2	12	1	1	1	7	2	12	0	0	1	0	1	0	0	1	0	1	0	25.2	1.8	1.8	60.044	564	564;551	0	6.4761	By matching	By matching	By matching	By MS/MS		1.6	14.4	3.4	25.2	0	769340	0	45369	0	723970	0	0	0	0	52430	0	0	0	0	1	0	1			+	9	69;118;525;656;712;951;952;1030;1131;1246;1440;1449	False;False;False;False;False;False;False;False;True;False;False;False	70;127;564;703;761;1013;1014;1096;1204;1324;1529;1539	186;187;376;377;378;379;1473;1819;1820;1981;1982;2604;2605;2606;2607;2608;2609;2795;2796;3081;3082;3390;3909;3929	126;238;970;1220;1326;1743;1744;1745;1746;1873;2057;2246;2574;2589	126;238;970;1220;1326;1744;1746;1873;2057;2246;2574;2589		

CON__P02768-1	CON__P02768-1	13	9	9		1	13	9	9	1	12	4	7	2	0	8	0	3	0	0	8	0	3	0	24.8	19.7	19.7	69.366	609	609	0	67.228	By matching	By MS/MS	By matching	By MS/MS	By matching	2.5	23.2	5.1	10.2	2.5	3067600	0	2846700	0	220870	0	0	29520	0	25044	0	0	6	0	3	0	9			+	10	148;154;159;378;417;739;866;872;1152;1251;1361;1406;1475	True;True;False;True;True;False;True;True;True;True;True;False;False	158;164;169;406;451;788;917;923;1226;1329;1447;1494;1566	466;477;490;491;492;1090;1187;2070;2071;2072;2073;2074;2410;2411;2429;2430;3140;3398;3704;3814;3815;3816;3817;3983;3984;3985	301;309;319;704;771;1379;1605;1614;2088;2252;2442;2510;2629	301;309;319;704;771;1379;1605;1614;2088;2252;2442;2510;2629		

CON__P02769;ENSMODG00000019164|ENSMODT00000024341	CON__P02769	36;2	36;2	32;1		2	36	36	32	2	34	35	15	7	2	34	35	15	7	1	30	31	11	5	66.4	66.4	61.3	69.293	607	607;608	0	323.31	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.3	60.6	64.3	24.5	11	337330000	230110	209550000	113980000	12651000	912870	336380	2377500	2367800	1383900	156540	0	34	31	8	1	74			+	11	35;134;156;159;294;377;387;411;430;503;575;577;730;739;754;779;786;800;809;810;873;912;940;1044;1077;1078;1086;1150;1151;1174;1252;1326;1406;1467;1475;1477	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	36;143;166;169;320;405;415;445;465;542;614;616;779;788;803;828;836;850;859;860;924;968;969;1002;1110;1144;1145;1154;1224;1225;1248;1330;1409;1410;1494;1557;1566;1568	90;91;92;93;425;426;427;480;481;482;483;490;491;492;866;867;868;869;1088;1089;1106;1107;1172;1173;1174;1224;1225;1420;1421;1588;1589;1590;1591;1594;1595;1596;2044;2045;2046;2047;2048;2049;2070;2071;2072;2073;2074;2111;2112;2113;2171;2172;2173;2174;2218;2251;2252;2253;2254;2284;2285;2286;2287;2288;2289;2290;2291;2431;2432;2433;2434;2518;2519;2520;2521;2584;2585;2833;2834;2934;2935;2936;2937;2956;2957;2958;2959;3136;3137;3138;3139;3198;3199;3399;3400;3401;3402;3403;3598;3599;3600;3601;3814;3815;3816;3817;3965;3966;3967;3983;3984;3985;3988;3989	62;63;64;270;271;311;312;313;319;567;568;569;703;718;719;764;796;934;935;1054;1055;1058;1059;1060;1363;1364;1365;1366;1367;1379;1404;1441;1442;1443;1444;1477;1497;1498;1519;1520;1521;1615;1616;1617;1618;1681;1682;1683;1728;1893;1945;1946;1947;1962;1963;2085;2086;2087;2123;2124;2253;2254;2255;2256;2257;2372;2373;2374;2375;2510;2616;2617;2618;2629;2631;2632	64;270;311;319;569;703;718;764;796;934;1055;1060;1365;1379;1404;1443;1477;1497;1519;1520;1615;1682;1728;1893;1945;1947;1963;2085;2087;2124;2254;2374;2510;2617;2629;2631	4;5	469;571

CON__P02777	CON__P02777	2	2	2		1	2	2	2	0	2	2	0	0	0	2	2	0	0	0	2	2	0	0	5.2	5.2	5.2	24.241	230	230	0	14.39		By MS/MS	By MS/MS			0	5.2	5.2	0	0	1257700	0	878940	378760	0	0	0	11529	8660.6	0	0	0	2	1	0	0	3			+	12	597;701	True;True	639;750	1660;1661;1952;1953	1104;1105;1308	1105;1308		

CON__P04259	CON__P04259	13	9	2		1	13	9	2	1	5	2	13	0	0	2	0	9	0	0	0	0	2	0	26.8	19.7	4.6	59.998	564	564	0	63.647	By matching	By matching	By matching	By MS/MS		1.6	9.6	3.4	26.8	0	4233400	0	393700	0	3839600	0	0	7166.3	0	276240	0	0	0	0	8	0	8			+	13	118;135;136;525;656;712;951;952;1030;1130;1246;1440;1449	False;True;True;True;True;False;False;False;True;True;True;True;True	127;144;145;564;703;761;1013;1014;1096;1203;1324;1529;1539	376;377;378;379;428;429;1473;1819;1820;1981;1982;2604;2605;2606;2607;2608;2609;2795;2796;3080;3390;3909;3929	238;272;273;970;1220;1326;1743;1744;1745;1746;1873;2056;2246;2574;2589	238;272;273;970;1220;1326;1744;1746;1873;2056;2246;2574;2589		

CON__P04264;CON__Q6IFZ6;CON__H-INV:HIT000016045;CON__P05787;CON__Q9R0H5;ENSMODG00000016424|ENSMODT00000020880	CON__P04264	35;2;1;1;1;1	35;2;1;1;1;1	26;0;0;0;0;0		6	35	35	26	8	28	18	29	10	8	28	18	29	10	6	19	11	21	7	54.2	54.2	43	66.017	644	644;572;99;483;524;557	0	323.31	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	12.4	47	34.3	48.8	16.5	264300000	331140	138740000	3594800	120540000	1093000	434740	1778100	140340	8629000	239780	0	25	5	41	1	72			+	14	31;32;269;270;413;421;477;481;523;524;604;685;728;747;826;855;925;950;951;955;1026;1099;1112;1132;1161;1162;1166;1177;1184;1207;1288;1297;1298;1437;1447	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	32;33;292;293;447;455;515;520;562;563;646;734;777;796;876;906;985;986;1012;1013;1017;1018;1092;1167;1180;1205;1235;1236;1240;1251;1258;1281;1368;1379;1380;1526;1537	78;79;80;81;82;83;797;798;799;800;1177;1178;1179;1180;1194;1195;1196;1197;1198;1355;1356;1357;1358;1374;1375;1466;1467;1468;1469;1470;1471;1472;1680;1681;1682;1909;1910;2034;2094;2095;2096;2320;2378;2379;2548;2549;2603;2604;2605;2606;2607;2608;2613;2614;2778;2779;2780;2781;2989;2990;3011;3083;3084;3085;3159;3160;3161;3162;3163;3164;3165;3166;3176;3177;3178;3179;3180;3213;3214;3215;3235;3236;3237;3238;3239;3293;3294;3295;3492;3493;3494;3519;3520;3521;3522;3523;3524;3525;3526;3527;3528;3529;3530;3531;3902;3923;3924;3925;3926;3927	55;56;57;523;524;525;526;766;776;777;778;779;888;889;890;891;903;904;965;966;967;968;969;1117;1281;1282;1355;1393;1394;1545;1589;1700;1701;1742;1743;1744;1745;1749;1750;1862;1863;1864;1865;1987;1988;2002;2058;2059;2060;2100;2101;2102;2103;2104;2112;2113;2138;2139;2152;2181;2313;2328;2329;2330;2331;2332;2333;2334;2569;2584;2585;2586;2587	55;57;523;526;766;778;891;903;965;969;1117;1282;1355;1393;1545;1589;1701;1742;1744;1750;1865;1988;2002;2060;2100;2104;2112;2139;2152;2181;2313;2330;2331;2569;2584	6;7;8;9	259;262;296;493

CON__P07477	CON__P07477	2	2	2		1	2	2	2	2	1	1	0	2	2	1	1	0	2	2	1	1	0	2	12.1	12.1	12.1	26.558	247	247	0	22.301	By MS/MS	By matching	By matching		By MS/MS	12.1	8.1	8.1	0	12.1	118470000	4007200	15869000	10269000	0	88320000	7931200	0	0	0	12328000	3	0	0	0	3	6			+	15	784;1290	True;True	834;1370;1371	2212;2213;2214;2215;3496;3497;3498;3499	1474;1475;2315;2316;2317;2318	1475;2318	10	109

CON__P08779;CON__P08727;CON__P19001;ENSMODG00000014587|ENSMODT00000018635;CON__Q9Z2K1;CON__Q3ZAW8	CON__P08779	11;2;2;2;2;2	5;0;0;0;1;1	5;0;0;0;1;1		6	11	5	5	0	4	0	11	0	0	0	0	5	0	0	0	0	5	0	29.6	15.9	15.9	51.267	473	473;400;403;437;469;474	0	38.44		By matching		By MS/MS		0	9.3	0	29.6	0	1713400	0	0	0	1713400	0	0	0	0	124090	0	0	0	0	6	0	6			+	16	85;108;191;381;520;522;661;749;1263;1391;1421	False;True;True;True;True;False;False;False;True;False;False	88;116;207;409;559;561;708;798;1341;1478;1509	235;340;571;1095;1460;1461;1464;1465;1828;1829;2101;3425;3775;3776;3862;3863	156;216;379;709;959;960;963;964;1225;1396;2272;2487;2488;2543	156;216;379;709;959;964;1225;1396;2272;2488;2543	11	274

CON__P12763	CON__P12763	2	2	2		1	2	2	2	0	2	2	0	0	0	2	2	0	0	0	2	2	0	0	10	10	10	38.418	359	359	0	26.837		By MS/MS	By MS/MS			0	10	10	0	0	13829000	0	7521700	6307500	0	0	0	76554	163270	0	0	0	1	3	0	0	4			+	17	584;1302	True;True	625;1384	1615;1616;3540;3541	1072;1073;2339;2340	1072;2340		

CON__P13645;ENSMODG00000013548|ENSMODT00000017267;ENSMODG00000013512|ENSMODT00000017226;ENSMODG00000013542|ENSMODT00000017262;CON__P02535-1;CON__P08730-1;CON__Q148H6;ENSMODG00000013455|ENSMODT00000017139;CON__Q7Z3Y7;ENSMODG00000013441|ENSMODT00000017121;CON__Q7Z3Z0;CON__Q7Z3Y8;ENSMODG00000013449|ENSMODT00000017129;CON__Q2M2I5;CON__Q7Z3Y9;ENSMODG00000014628|ENSMODT00000018609;CON__Q99456;ENSMODG00000013275|ENSMODT00000016906	CON__P13645	27;10;8;7;7;4;3;3;3;2;2;2;2;2;1;1;1;1	27;10;8;7;7;4;3;3;3;2;2;2;2;2;1;1;1;1	22;6;6;5;3;0;1;1;1;1;1;1;1;0;0;0;0;0		18	27	27	22	7	22	9	17	3	7	22	9	17	3	7	20	8	12	3	54.3	54.3	48.1	59.51	593	593;538;473;491;570;437;464;474;486;442;450;459;466;525;468;475;494;498	0	323.31	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	17.9	47.6	21.2	29.3	5.6	122310000	458560	77965000	1506100	42283000	98727	142370	824060	26141	3581700	13862	1	25	0	17	0	43			+	18	45;86;183;342;528;531;646;744;749;769;812;946;965;981;983;1055;1058;1059;1134;1163;1175;1204;1205;1221;1281;1392;1421	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	46;89;194;370;567;570;693;793;798;818;862;1008;1029;1045;1047;1048;1049;1122;1125;1126;1207;1237;1249;1278;1279;1295;1361;1479;1509	116;236;237;238;239;543;544;545;546;1010;1011;1476;1477;1478;1479;1485;1795;2087;2101;2147;2148;2149;2293;2294;2295;2598;2646;2673;2675;2676;2677;2678;2679;2680;2868;2869;2874;2875;2876;2877;3087;3088;3089;3167;3168;3200;3201;3202;3283;3284;3285;3286;3287;3288;3289;3290;3324;3475;3777;3778;3862;3863	82;157;158;356;357;358;359;652;653;973;974;979;1203;1388;1396;1427;1523;1524;1738;1778;1795;1797;1798;1799;1800;1910;1914;1915;1916;2062;2063;2105;2125;2126;2176;2177;2178;2179;2201;2301;2489;2490;2543	82;158;359;652;974;979;1203;1388;1396;1427;1523;1738;1778;1795;1800;1910;1914;1916;2063;2105;2126;2176;2178;2201;2301;2490;2543	12;13;14	291;306;321

CON__P13647;ENSMODG00000020938|ENSMODT00000028818;CON__Q8VED5	CON__P13647	12;4;2	7;2;0	4;0;0		3	12	7	4	0	7	2	12	1	0	4	1	7	1	0	4	1	4	1	21.4	12.9	7.6	62.378	590	590;650;531	0	61.885		By MS/MS	By matching	By MS/MS	By matching	0	12.4	3.4	21.4	2.5	9782600	0	1295900	171130	8117300	198310	0	18764	0	586650	0	0	2	0	7	0	9			+	19	117;657;712;746;951;952;1030;1133;1261;1413;1440;1448	True;True;False;True;False;False;False;True;True;True;False;True	126;704;761;795;1013;1014;1096;1206;1339;1501;1529;1538	374;375;1821;1822;1981;1982;2091;2092;2093;2604;2605;2606;2607;2608;2609;2795;2796;3086;3423;3830;3831;3832;3909;3928	237;1221;1326;1391;1392;1743;1744;1745;1746;1873;2061;2270;2520;2521;2574;2588	237;1221;1326;1392;1744;1746;1873;2061;2270;2520;2574;2588		

CON__P15497	CON__P15497	4	4	4		1	4	4	4	0	3	4	0	0	0	3	4	0	0	0	3	4	0	0	21.1	21.1	21.1	30.276	265	265	0	54.285		By MS/MS	By MS/MS			0	16.2	21.1	0	0	1465600	0	790090	675560	0	0	0	14528	10948	0	0	0	3	3	0	0	6			+	20	277;362;814;1386	True;True;True;True	301;390;864;1473	815;1057;1058;2298;2299;3759;3760	535;683;684;1526;1527;2479;2480	535;684;1527;2480		

CON__P20930	CON__P20930	1	1	1		1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0.3	0.3	0.3	435.16	4061	4061	0	7.9789		By MS/MS	By matching			0	0.3	0.3	0	0	144440	0	107590	36852	0	0	0	0	805.78	0	0	0	1	0	0	0	1			+	21	582	True	623	1608;1609	1070	1070		

CON__P35527	CON__P35527	20	20	20		1	20	20	20	3	18	9	12	4	3	18	9	12	4	3	18	9	12	4	43.7	43.7	43.7	62.129	623	623	0	286.84	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	8	42.2	21	19.1	9.1	130350000	167870	81722000	1845700	46490000	128310	57061	1289400	13919	3205200	12402	0	16	1	18	0	35			+	22	231;325;400;423;483;530;562;622;986;1010;1012;1018;1065;1108;1135;1230;1287;1289;1408;1444	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	252;351;431;432;457;522;569;601;667;668;1052;1076;1078;1084;1132;1176;1208;1305;1306;1367;1369;1496;1533;1534	692;952;953;954;1138;1139;1140;1202;1203;1204;1379;1380;1381;1382;1383;1384;1484;1555;1556;1737;1738;1739;1740;2686;2739;2740;2743;2744;2745;2758;2759;2760;2761;2897;2898;2899;3003;3090;3091;3092;3093;3094;3347;3348;3349;3350;3488;3489;3490;3491;3495;3820;3821;3915;3916	461;621;622;741;742;743;781;782;783;908;909;910;978;1035;1159;1160;1161;1162;1805;1841;1842;1844;1852;1924;1998;2064;2065;2066;2217;2218;2312;2314;2513;2514;2578;2579	461;621;743;781;908;978;1035;1162;1805;1842;1844;1852;1924;1998;2064;2218;2312;2314;2514;2579	15;16;17;18;19	157;245;269;326;411

CON__P35908v2;CON__P35908;CON__Q01546;CON__Q3TTY5;CON__Q5XKE5;CON__Q6NXH9;ENSMODG00000008733|ENSMODT00000039020;CON__P07744;ENSMODG00000008747|ENSMODT00000011099;CON__Q7RTS7;ENSMODG00000022790|ENSMODT00000028822;CON__Q32MB2;ENSMODG00000008758|ENSMODT00000011115;CON__P19013;ENSMODG00000008917|ENSMODT00000011332	CON__P35908v2;CON__P35908	29;28;3;3;2;2;2;1;1;1;1;1;1;1;1	27;26;3;3;2;1;2;1;1;1;1;1;1;1;1	22;21;0;1;0;0;0;0;0;0;0;0;0;0;0	;	15	29	27	22	2	20	6	25	2	2	18	4	23	1	1	14	3	19	1	57	53.8	46.3	65.432	639	639;645;638;707;535;539;602;525;526;529;540;540;549;594;1027	0	246.31	By matching	By MS/MS	By matching	By MS/MS	By matching	2.8	43.7	11.7	44	3.3	76664000	29332	19692000	285860	56644000	13220	10456	159500	4463.7	4230100	0	0	12	0	25	0	37			+	23	9;10;118;271;275;405;413;471;476;482;484;485;532;560;604;712;742;952;982;1105;1181;1232;1244;1245;1315;1316;1450;1463;1471	True;True;True;True;True;True;False;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True	9;10;127;294;299;438;447;509;514;521;523;524;571;599;646;761;791;1014;1046;1173;1255;1308;1322;1323;1397;1398;1540;1553;1561	28;29;376;377;378;379;801;802;811;1153;1177;1178;1179;1180;1343;1344;1345;1353;1354;1376;1377;1378;1385;1386;1387;1486;1487;1553;1680;1681;1682;1981;1982;2080;2081;2082;2083;2609;2674;2999;3223;3224;3225;3226;3354;3355;3386;3387;3388;3389;3569;3570;3571;3930;3931;3957;3974;3975;3976	18;19;238;527;532;751;766;878;879;886;887;905;906;907;911;912;913;980;981;1033;1117;1326;1384;1385;1386;1746;1796;1995;2145;2220;2243;2244;2245;2355;2356;2590;2591;2612;2623	18;19;238;527;532;751;766;879;886;905;912;913;980;1033;1117;1326;1385;1746;1796;1995;2145;2220;2243;2245;2355;2356;2590;2612;2623	20;21	257;294

CON__P48668	CON__P48668	12	1	0		1	12	1	0	1	6	2	12	0	0	1	0	1	0	0	0	0	0	0	25.2	3	0	60.024	564	564	0	7.7669	By matching	By matching	By matching	By MS/MS		1.6	12.6	3.4	25.2	0	684060	0	194510	0	489560	0	0	0	0	35454	0	0	0	0	1	0	1			+	24	69;118;525;656;712;951;952;1030;1130;1246;1440;1449	True;False;False;False;False;False;False;False;False;False;False;False	70;127;564;703;761;1013;1014;1096;1203;1324;1529;1539	186;187;376;377;378;379;1473;1819;1820;1981;1982;2604;2605;2606;2607;2608;2609;2795;2796;3080;3390;3909;3929	126;238;970;1220;1326;1743;1744;1745;1746;1873;2056;2246;2574;2589	126;238;970;1220;1326;1744;1746;1873;2056;2246;2574;2589		

CON__Q05B55	CON__Q05B55	1	1	1		1	1	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	7.5	7.5	7.5	26.59	240	240	0	6.3476	By matching				By MS/MS	7.5	0	0	0	7.5	177040	19061	0	0	0	157980	0	0	0	0	30398	0	0	0	0	1	1			+	25	1106	True	1174	3000;3001	1996	1996		

CON__Q29443;CON__Q0IIK2	CON__Q29443;CON__Q0IIK2	1;1	1;1	1;1	;	2	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	2.2	2.2	2.2	75.829	685	685;704	0	6.7608		By MS/MS	By matching			0	2.2	2.2	0	0	287200	0	183390	103810	0	0	0	0	2269.8	0	0	0	1	0	0	0	1			+	26	396	True	427	1130;1131	737	737		

CON__Q6KB66-1;CON__Q0VBK2	CON__Q6KB66-1;CON__Q0VBK2	1;1	1;1	1;1	;	2	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	2.2	2.2	2.2	50.525	452	452;452	0	7.2317				By MS/MS		0	0	0	2.2	0	98356	0	0	0	98356	0	0	0	0	7122.9	0	0	0	0	1	0	1			+	27	1170	True	1244	3189	2119	2119		

CON__Q1RMN8	CON__Q1RMN8	1	1	1		1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	6.4	6.4	6.4	24.536	234	234	0	13.551		By MS/MS	By matching			0	6.4	6.4	0	0	442610	0	285430	157170	0	0	0	0	3436.7	0	0	0	1	0	0	0	1			+	28	1441	True	1530	3910;3911	2575	2575		

