Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 2	Peptides Scram	Peptides 4	Peptides 5	Peptides 6	Peptides 7	Peptides A1	Peptides A2	Peptides ALL	Peptides combine	Peptides N1	Peptides N2	Peptides none	Peptides O3	Razor + unique peptides 2	Razor + unique peptides Scram	Razor + unique peptides 4	Razor + unique peptides 5	Razor + unique peptides 6	Razor + unique peptides 7	Razor + unique peptides A1	Razor + unique peptides A2	Razor + unique peptides ALL	Razor + unique peptides combine	Razor + unique peptides N1	Razor + unique peptides N2	Razor + unique peptides none	Razor + unique peptides O3	Unique peptides 2	Unique peptides Scram	Unique peptides 4	Unique peptides 5	Unique peptides 6	Unique peptides 7	Unique peptides A1	Unique peptides A2	Unique peptides ALL	Unique peptides combine	Unique peptides N1	Unique peptides N2	Unique peptides none	Unique peptides O3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 2	Identification type Scram	Identification type 4	Identification type 5	Identification type 6	Identification type 7	Identification type A1	Identification type A2	Identification type ALL	Identification type combine	Identification type N1	Identification type N2	Identification type none	Identification type O3	Sequence coverage 2 [%]	Sequence coverage Scram [%]	Sequence coverage 4 [%]	Sequence coverage 5 [%]	Sequence coverage 6 [%]	Sequence coverage 7 [%]	Sequence coverage A1 [%]	Sequence coverage A2 [%]	Sequence coverage ALL [%]	Sequence coverage combine [%]	Sequence coverage N1 [%]	Sequence coverage N2 [%]	Sequence coverage none [%]	Sequence coverage O3 [%]	Intensity	Intensity 2	Intensity Scram	Intensity 4	Intensity 5	Intensity 6	Intensity 7	Intensity A1	Intensity A2	Intensity ALL	Intensity combine	Intensity N1	Intensity N2	Intensity none	Intensity O3	LFQ intensity 2	LFQ intensity Scram	LFQ intensity 4	LFQ intensity 5	LFQ intensity 6	LFQ intensity 7	LFQ intensity A1	LFQ intensity A2	LFQ intensity ALL	LFQ intensity combine	LFQ intensity N1	LFQ intensity N2	LFQ intensity none	LFQ intensity O3	MS/MS count 2	MS/MS count Scram	MS/MS count 4	MS/MS count 5	MS/MS count 6	MS/MS count 7	MS/MS count A1	MS/MS count A2	MS/MS count ALL	MS/MS count combine	MS/MS count N1	MS/MS count N2	MS/MS count none	MS/MS count O3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions

CON__P00711	CON__P00711	2	2	2		1	2	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	25.2	25.2	25.2	14.186	123	123	0	22.283											By MS/MS				0	0	0	0	0	0	0	0	0	0	25.2	0	0	0	1134100	0	0	0	0	0	0	0	0	0	0	1134100	0	0	0	0	0	0	0	0	0	0	0	0	0	548130	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3			+	5	313;717	True;True	338;774	3454;3455;7669	1637;1638;3472	1638;3472		

CON__P00735	CON__P00735	1	1	1		1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1.3	1.3	1.3	70.505	625	625	0.0022272	1.2723							By matching	By matching			By matching	By MS/MS		By matching	0	0	0	0	0	0	1.3	1.3	0	0	1.3	1.3	0	1.3	391280	0	0	0	0	0	0	75726	114810	0	0	95751	87223	0	17772	0	0	0	0	0	0	0	0	0	0	0	0	0	13751	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1			+	6	2629	True	2781	27927;27928;27929;27930;27931	12320	12320		

CON__P00761	CON__P00761	9	9	9		1	9	9	9	5	8	5	6	3	7	7	7	6	3	8	8	8	8	5	8	5	6	3	7	7	7	6	3	8	8	8	8	5	8	5	6	3	7	7	7	6	3	8	8	8	8	58.9	58.9	58.9	24.409	231	231	0	178.53	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	35.9	51.1	35.5	42	21.6	46.3	44.6	48.1	42	21.6	51.1	54.5	49.8	54.5	1965400000	5078000	302840000	11766000	10067000	1192700	9958800	382840000	428500000	11249000	405020	473450000	208460000	45173000	74394000	38294000	65104000	66122000	48876000	18314000	77865000	93630000	60450000	57238000	110270000	95640000	87269000	217590000	28730000	4	8	4	4	1	4	8	7	4	2	5	10	15	6	82			+	7	166;1181;1508;1643;2095;2239;2252;2464;2468	True;True;True;True;True;True;True;True;True	179;1253;1254;1591;1727;2218;2371;2385;2386;2609;2613	1757;1758;1759;1760;1761;1762;1763;1764;12401;12402;12403;12404;12405;12406;12407;12408;12409;12410;12411;12412;12413;12414;12415;12416;12417;12418;12419;12420;12421;12422;12423;12424;12425;12426;12427;12428;12429;12430;12431;12432;12433;12434;12435;12436;12437;12438;12439;12440;12441;12442;12443;12444;12445;12446;12447;12448;16115;16116;16117;16118;16119;16120;16121;16122;16123;16124;16125;16126;16127;16128;16129;16130;16131;16132;16133;16134;16135;16136;16137;16138;16139;16140;16141;16142;16143;16144;16145;17603;17604;17605;17606;17607;17608;17609;17610;17611;17612;17613;17614;17615;22523;22524;22525;22526;22527;22528;22529;22530;22531;22532;23943;23944;23945;23946;23947;23948;23949;23950;23951;23952;23953;23954;24084;24085;24086;24087;24088;24089;24090;24091;24092;24093;24094;26222;26223;26224;26225;26226;26227;26228;26229;26230;26231;26232;26233;26234;26235;26236;26266;26267;26268;26269;26270;26271;26272;26273;26274;26275	887;5601;5602;5603;5604;5605;5606;5607;5608;5609;5610;5611;5612;5613;5614;5615;5616;5617;5618;5619;5620;5621;5622;5623;5624;7200;7201;7202;7203;7204;7205;7206;7207;7208;7209;7210;7211;7212;7213;7214;7215;7216;7217;7218;7219;7220;7221;7222;7223;7224;7225;7226;7825;7826;7827;9905;9906;9907;9908;9909;9910;9911;9912;10544;10545;10546;10595;10596;10597;10598;11583;11584;11585;11586;11587;11588;11589;11590;11591;11597;11598;11599;11600	887;5612;7222;7826;9910;10546;10596;11585;11598	0;1	94;168

CON__P00766	CON__P00766	1	1	1		1	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	5.7	5.7	5.7	25.666	245	245	0	1.9856	By MS/MS		By matching		By matching					By matching					5.7	0	5.7	0	5.7	0	0	0	0	5.7	0	0	0	0	186620	102450	0	36251	0	20530	0	0	0	0	27395	0	0	0	0	0	0	0	0	0	0	0	0	0	1221800	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1			+	8	2736	True	2890	28911;28912;28913;28914	12721	12721		

CON__P00978	CON__P00978	2	2	2		1	2	2	2	0	0	0	0	0	0	2	2	1	0	1	1	1	0	0	0	0	0	0	0	2	2	1	0	1	1	1	0	0	0	0	0	0	0	2	2	1	0	1	1	1	0	7.7	7.7	7.7	39.234	352	352	0	6.3331							By matching	By MS/MS	By matching		By MS/MS	By MS/MS	By matching		0	0	0	0	0	0	7.7	7.7	3.4	0	4.3	4.3	4.3	0	840950	0	0	0	0	0	0	190940	359490	7976.5	0	106410	132380	43759	0	0	0	0	0	0	0	0	0	0	0	0	0	117540	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	3			+	9	2283;2426	True;True	2418;2567	24392;24393;24394;25738;25739;25740;25741;25742;25743	10736;11329;11330	10736;11329		

CON__P01030	CON__P01030	6	6	2		1	6	6	2	4	5	5	5	3	5	4	5	6	0	4	5	5	5	4	5	5	5	3	5	4	5	6	0	4	5	5	5	2	2	1	2	2	2	1	2	2	0	1	2	2	2	3.2	3.2	0.9	192.79	1741	1741	0	36.692	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS		By MS/MS	By MS/MS	By MS/MS	By MS/MS	2.6	2	3.1	2	1.4	2	1.9	2	3.2	0	1.9	2	2	2	155540000	369630	33875000	2108000	1363500	327260	1870900	15359000	30786000	1477100	0	35888000	25030000	2627400	4463300	345550	14442000	1789900	1322400	710650	2608400	9749000	10543000	1440600	0	17476000	18684000	3384000	3806900	2	5	2	3	1	3	4	3	3	0	5	5	5	3	44			+	10	239;1379;1380;1516;2014;2534	True;True;True;True;True;True	257;1457;1458;1599;2131;2683	2585;2586;2587;2588;2589;2590;2591;2592;2593;2594;2595;2596;2597;2598;2599;2600;2601;2602;2603;2604;2605;2606;14625;14626;14627;14628;14629;14630;14631;14632;14633;14634;14635;14636;14637;14638;14639;14640;14641;14642;14643;14644;14645;14646;14647;14648;14649;14650;14651;14652;14653;14654;14655;14656;14657;14658;16204;16205;16206;16207;16208;16209;16210;16211;16212;16213;16214;16215;16216;16217;16218;16219;16220;16221;21613;21614;21615;21616;21617;21618;21619;21620;21621;21622;21623;21624;26987;26988;26989	1265;1266;1267;1268;1269;1270;1271;1272;1273;1274;1275;6545;6546;6547;6548;6549;6550;6551;6552;6553;6554;6555;6556;6557;6558;6559;6560;6561;7249;7250;7251;7252;7253;7254;7255;7256;7257;7258;7259;7260;7261;9543;9544;9545;11931	1274;6559;6561;7259;9543;11931		

CON__P01045-1;CON__Q2KJ62;CON__P01044-1	CON__P01045-1;CON__Q2KJ62;CON__P01044-1	1;1;1	1;1;1	1;1;1	;;	3	1	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1.9	1.9	1.9	68.709	619	619;621;621	0	1.3132							By matching	By MS/MS			By MS/MS	By matching		By matching	0	0	0	0	0	0	1.9	1.9	0	0	1.9	1.9	0	1.9	610330	0	0	0	0	0	0	100330	178990	0	0	161040	129810	0	40156	0	0	0	0	0	0	0	0	0	0	0	0	0	31070	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1			+	11	1537	True	1620	16410;16411;16412;16413;16414	7332;7333	7332		

CON__P01966	CON__P01966	5	5	5		1	5	5	5	4	1	5	4	4	5	1	4	4	0	5	3	5	5	4	1	5	4	4	5	1	4	4	0	5	3	5	5	4	1	5	4	4	5	1	4	4	0	5	3	5	5	52.1	52.1	52.1	15.184	142	142	0	18.007	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching		By matching	By matching	By MS/MS	By MS/MS	43.7	11.3	52.1	43.7	43.7	52.1	8.5	43.7	43.7	0	52.1	25.4	52.1	52.1	6577000	1053600	168230	570860	426750	696040	234600	28041	665590	413950	0	777560	216000	370450	955370	1641800	0	431950	298430	3258800	169820	0	160160	192940	0	157540	0	407770	517830	3	0	2	2	2	0	0	0	0	0	0	0	2	3	14			+	12	217;715;1706;2445;2530	True;True;True;True;True	235;772;1800;2590;2679	2337;2338;2339;2340;2341;2342;2343;2344;2345;2346;2347;2348;2349;2350;2351;2352;2353;2354;7652;7653;7654;7655;7656;7657;7658;7659;18350;18351;18352;18353;18354;18355;18356;18357;18358;18359;18360;18361;26024;26025;26026;26027;26028;26029;26030;26031;26032;26033;26034;26035;26945;26946;26947;26948;26949;26950;26951;26952;26953;26954;26955;26956;26957;26958	1157;1158;1159;1160;1161;1162;3462;3463;8146;11494;11495;11913;11914;11915	1157;3462;8146;11494;11913		

CON__P02533;CON__Q04695;CON__Q9QWL7;ENSMODG00000014587|ENSMODT00000018635;CON__A2A4G1;CON__Q6IFX2;CON__P19012;ENSMODG00000014628|ENSMODT00000018609;ENSMODG00000014620|ENSMODT00000018601;CON__P08727;CON__P19001;CON__Q9Z2K1;CON__Q3ZAW8;CON__Q61782;ENSMODG00000014647|ENSMODT00000018636;CON__P35900;CON__Q9D312	CON__P02533	13;6;6;5;5;4;4;4;3;3;3;3;3;2;2;1;1	10;4;4;3;2;4;2;3;1;1;1;2;2;2;2;1;1	5;2;2;1;0;2;0;1;0;0;0;0;0;1;0;0;0		17	13	10	5	1	2	4	9	0	3	10	9	4	0	12	11	4	4	0	1	3	8	0	2	7	7	3	0	10	9	3	2	0	1	3	4	0	1	4	3	0	0	5	5	2	1	31.4	27.5	15.5	51.621	472	472;432;433;437;456;452;456;475;390;400;403;469;474;93;452;424;431	0	43.505	By matching	By matching	By matching	By MS/MS		By matching	By MS/MS	By matching	By matching		By MS/MS	By MS/MS	By matching	By matching	1.9	4.7	10.6	24.8	0	6.6	24.4	22.2	9.3	0	30.9	28.6	10.6	8.1	6973300	0	47192	54728	544020	0	39974	1727500	344400	32165	0	2025300	2074200	56450	27348	0	0	97752	370820	0	106330	1085500	66143	52579	0	853850	1413900	121560	57141	0	0	0	3	0	0	4	0	0	0	7	4	0	0	18			+	13	191;247;296;647;967;970;1201;1248;1452;1454;2407;2556;2621	True;True;True;True;True;True;True;True;False;False;True;True;False	208;265;318;694;1035;1038;1275;1324;1533;1535;2546;2705;2771;2772	2050;2051;2052;2053;2699;2700;3193;3194;3195;3196;3197;3198;6853;6854;6855;6856;6857;6858;6859;6860;6861;6862;10257;10258;10259;10260;10261;10272;10273;10274;10275;10276;10277;12670;12671;12672;12673;12674;12675;12676;12677;12678;12679;13189;13190;13191;13192;15450;15451;15452;15453;15454;15462;25559;25560;25561;27206;27207;27208;27209;27210;27211;27212;27213;27214;27215;27821;27822;27823;27824;27825;27826;27827;27828;27829;27830;27831;27832;27833;27834;27835;27836;27837;27838;27839;27840;27841;27842;27843	1021;1317;1528;1529;1530;3066;3067;3068;4632;4633;4637;4638;4639;5737;5738;5977;6867;6868;6869;6873;11248;12020;12021;12270;12271;12272;12273;12274;12275;12276;12277;12278;12279;12280	1021;1317;1530;3068;4633;4639;5738;5977;6867;6873;11248;12020;12279	2;3	119;272

CON__P02662	CON__P02662	2	2	2		1	2	2	2	0	0	0	1	0	0	0	1	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	2	1	0	0	15.6	15.6	15.6	22.975	199	199	0	6.0453				By matching				By matching			By MS/MS	By matching			0	0	0	6	0	0	0	6	0	0	15.6	6	0	0	3407300	0	0	0	63591	0	0	0	190040	0	0	2994600	159010	0	0	0	0	0	0	0	0	0	0	0	0	1447400	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2			+	14	611;696	True;True	657;750	6538;7418;7419;7420;7421	2947;3341	2947;3341		

CON__P02663	CON__P02663	3	3	3		1	3	3	3	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	1	12.6	12.6	12.6	24.348	207	207	0	6.5365					By matching						By MS/MS			By matching	0	0	0	0	5.3	0	0	0	0	0	12.6	0	0	5.3	1285100	0	0	0	0	8118.7	0	0	0	0	0	1260500	0	0	16431	0	0	0	0	0	0	0	0	0	0	609240	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3			+	15	143;676;2440	True;True;True	152;727;2584	1385;1386;1387;7272;25960	668;3297;11450	668;3297;11450		

CON__P02666	CON__P02666	1	1	1		1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	9.1	9.1	9.1	23.583	209	209	0	22.75											By MS/MS	By matching			0	0	0	0	0	0	0	0	0	0	9.1	9.1	0	0	2137800	0	0	0	0	0	0	0	0	0	0	2040600	97246	0	0	0	0	0	0	0	0	0	0	0	0	922150	70678	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3			+	16	397	True	428;429	4409;4410;4411;4412;4413	2054;2055;2056	2055	4	185

CON__P02668	CON__P02668	1	1	1		1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	7.1	7.1	7.1	18.974	169	169	0	4.1975		By matching									By MS/MS				0	7.1	0	0	0	0	0	0	0	0	7.1	0	0	0	297040	0	106080	0	0	0	0	0	0	0	0	190960	0	0	0	0	0	0	0	0	0	0	0	0	0	92296	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1			+	17	2745	True	2900	29008;29009	12769	12769		

CON__P02672	CON__P02672	4	4	4		1	4	4	4	0	1	0	0	0	0	2	3	0	0	3	4	0	2	0	1	0	0	0	0	2	3	0	0	3	4	0	2	0	1	0	0	0	0	2	3	0	0	3	4	0	2	7.5	7.5	7.5	67.011	615	615	0	3.6303		By matching					By MS/MS	By MS/MS			By MS/MS	By MS/MS		By matching	0	1.6	0	0	0	0	4.2	4.9	0	0	5.7	7.5	0	3.4	1144600	0	24360	0	0	0	0	147110	320700	0	0	273530	351950	0	26980	0	0	0	0	0	0	90876	101360	0	0	148410	217090	0	0	0	0	0	0	0	0	2	1	0	0	1	1	0	0	5			+	18	798;803;943;2626	True;True;True;True	860;865;1011;2777	8416;8417;8418;8459;8460;8461;10072;10073;10074;27894;27895;27896;27897;27898;27899	3818;3839;4545;4546;12308	3818;3839;4545;12308		

